actual,proposed
0.240006223320961,0.19428205490112305
0.238438680768013,0.193485289812088
0.2412363886833191,0.193272203207016
0.23962022364139557,0.19287928938865662
0.23801171779632568,0.192351832985878
0.23641033470630646,0.19172550737857819
0.23481501638889313,0.19108879566192627
0.2332252711057663,0.19041568040847778
0.23164063692092896,0.18971683084964752
0.22570110857486725,0.18847815692424774
0.2053537666797638,0.1839904934167862
0.19535592198371887,0.18061423301696777
0.18110856413841248,0.17682959139347076
0.16702581942081451,0.17257507145404816
0.15309925377368927,0.16800525784492493
0.13932135701179504,0.1632743626832962
0.12132584303617477,0.15784837305545807
0.10352461785078049,0.1520327478647232
0.08154941350221634,0.14538823068141937
0.06416923552751541,0.13880260288715363
0.03823497146368027,0.13110850751399994
0.012577012181282043,0.1227627769112587
0.0,0.11345235258340836
0.0,0.1040690690279007
0.0,0.09412902593612671
0.0,0.08373774588108063
0.0,0.07258649170398712
0.0,0.06092328950762749
